Provider,N_reports,Executive-Packaged,Core-Engineering,Remediation-First,Governance-Focused,Legal/Taxonomy-Heavy
0xGuard,3,0.0,0.0,1.0,0.0,0.0
Beosin,7,0.43,0.43,1.0,0.0,0.0
BlockSec,3,0.0,0.67,0.67,0.0,0.0
Blocksafu,3,0.0,0.0,1.0,0.0,0.0
Callisto Network,7,0.0,0.43,1.0,0.0,0.0
CertiK,3,1.0,0.33,1.0,0.0,1.0
ChainSecurity,7,0.43,0.14,1.0,0.0,0.43
Coinsult,4,0.75,0.0,1.0,0.0,0.0
ConsenSys Diligence,3,1.0,1.0,1.0,1.0,1.0
ContractWolf,5,0.0,0.0,1.0,0.0,0.0
Cyberscope,5,0.0,0.0,1.0,0.0,0.0
Cyfrin,3,1.0,0.0,1.0,0.0,1.0
EtherAuthority,6,0.5,0.0,0.83,0.0,0.0
FreshCoins,6,0.5,0.5,0.83,0.5,0.0
Hacken,3,1.0,0.0,1.0,0.33,1.0
Hacken.io,3,0.0,0.0,0.67,0.0,0.0
Halborn,3,1.0,0.67,1.0,0.0,1.0
HashEx,6,0.5,0.0,1.0,0.0,0.5
InterFi Audits,5,0.6,0.0,1.0,0.6,0.0
Kudelski Security,3,0.67,1.0,1.0,1.0,0.33
Omniscia,6,0.5,0.33,1.0,0.17,0.0
OpenZeppelin,3,0.67,1.0,1.0,0.67,0.67
Paladin Blockchain Security,6,0.5,0.0,1.0,0.0,0.0
PeckShield,6,0.5,0.5,1.0,0.33,0.33
Pessimistic,3,0.67,0.0,1.0,0.0,0.67
Quantstamp,7,0.43,0.43,0.43,0.29,0.14
QuillAudits,7,0.14,0.14,1.0,0.0,0.14
Runtime Verification,3,0.67,0.33,1.0,0.67,0.67
Sherlock,5,0.0,0.2,1.0,0.0,0.0
Sigma Prime,3,1.0,0.67,1.0,0.0,1.0
SlowMist,2,0.0,0.0,1.0,0.0,0.0
Soken,3,0.0,0.0,1.0,0.0,0.0
SolidProof,3,1.0,1.0,1.0,0.0,0.0
TechRate,3,0.0,0.0,1.0,1.0,0.0
Trail of Bits,3,1.0,1.0,1.0,0.67,0.0
Verichains Lab,3,0.0,0.0,1.0,0.0,0.0
Zellic,3,0.33,0.33,1.0,0.33,0.0
Zokyo,3,0.67,0.0,1.0,0.33,0.33
